instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_FO|882956,882956,BANKEX26MAY53400PE,BANKEX,0.0,2026-05-27,53400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|883103,883103,BANKEX26MAY53500CE,BANKEX,0.0,2026-05-27,53500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882572,882572,BANKEX26MAY53500PE,BANKEX,0.0,2026-05-27,53500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882726,882726,BANKEX26MAY53600CE,BANKEX,0.0,2026-05-27,53600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883058,883058,BANKEX26MAY53600PE,BANKEX,0.0,2026-05-27,53600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882296,882296,BANKEX26MAY53700CE,BANKEX,0.0,2026-05-27,53700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882675,882675,BANKEX26MAY53700PE,BANKEX,0.0,2026-05-27,53700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882822,882822,BANKEX26MAY53800CE,BANKEX,0.0,2026-05-27,53800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883139,883139,BANKEX26MAY53800PE,BANKEX,0.0,2026-05-27,53800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882411,882411,BANKEX26MAY53900CE,BANKEX,0.0,2026-05-27,53900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882771,882771,BANKEX26MAY53900PE,BANKEX,0.0,2026-05-27,53900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881771,881771,BANKEX26MAY54000CE,BANKEX,0.0,2026-05-27,54000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882090,882090,BANKEX26MAY54000PE,BANKEX,35.35,2026-05-27,54000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882235,882235,BANKEX26MAY54100CE,BANKEX,0.0,2026-05-27,54100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882602,882602,BANKEX26MAY54100PE,BANKEX,0.0,2026-05-27,54100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881865,881865,BANKEX26MAY54200CE,BANKEX,0.0,2026-05-27,54200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882194,882194,BANKEX26MAY54200PE,BANKEX,0.0,2026-05-27,54200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882336,882336,BANKEX26MAY54300CE,BANKEX,0.0,2026-05-27,54300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881810,881810,BANKEX26MAY54300PE,BANKEX,0.0,2026-05-27,54300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881949,881949,BANKEX26MAY54400CE,BANKEX,0.0,2026-05-27,54400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882274,882274,BANKEX26MAY54400PE,BANKEX,0.0,2026-05-27,54400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|883151,883151,BANKEX26MAY54500CE,BANKEX,0.0,2026-05-27,54500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881905,881905,BANKEX26MAY54500PE,BANKEX,0.0,2026-05-27,54500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882055,882055,BANKEX26MAY54600CE,BANKEX,0.0,2026-05-27,54600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882391,882391,BANKEX26MAY54600PE,BANKEX,0.0,2026-05-27,54600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|883231,883231,BANKEX26MAY54700CE,BANKEX,0.0,2026-05-27,54700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881994,881994,BANKEX26MAY54700PE,BANKEX,0.0,2026-05-27,54700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882154,882154,BANKEX26MAY54800CE,BANKEX,0.0,2026-05-27,54800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883191,883191,BANKEX26MAY54800PE,BANKEX,0.0,2026-05-27,54800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881779,881779,BANKEX26MAY54900CE,BANKEX,0.0,2026-05-27,54900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882101,882101,BANKEX26MAY54900PE,BANKEX,0.0,2026-05-27,54900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882713,882713,BANKEX26MAY55000CE,BANKEX,0.0,2026-05-27,55000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883049,883049,BANKEX26MAY55000PE,BANKEX,0.0,2026-05-27,55000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|883176,883176,BANKEX26MAY55100CE,BANKEX,0.0,2026-05-27,55100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882664,882664,BANKEX26MAY55100PE,BANKEX,0.0,2026-05-27,55100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882812,882812,BANKEX26MAY55200CE,BANKEX,0.0,2026-05-27,55200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883134,883134,BANKEX26MAY55200PE,BANKEX,0.0,2026-05-27,55200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882402,882402,BANKEX26MAY55300CE,BANKEX,0.0,2026-05-27,55300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|882764,882764,BANKEX26MAY55300PE,BANKEX,0.0,2026-05-27,55300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882913,882913,BANKEX26MAY55400CE,BANKEX,0.0,2026-05-27,55400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883215,883215,BANKEX26MAY55400PE,BANKEX,0.0,2026-05-27,55400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881456,881456,BANKEX26MAY55500CE,BANKEX,0.0,2026-05-27,55500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881551,881551,BANKEX26MAY55500PE,BANKEX,0.0,2026-05-27,55500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881598,881598,BANKEX26MAY55600CE,BANKEX,0.0,2026-05-27,55600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881442,881442,BANKEX26MAY55600PE,BANKEX,0.0,2026-05-27,55600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881487,881487,BANKEX26MAY55700CE,BANKEX,0.0,2026-05-27,55700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881580,881580,BANKEX26MAY55700PE,BANKEX,0.0,2026-05-27,55700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881371,881371,BANKEX26MAY55800CE,BANKEX,0.0,2026-05-27,55800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881472,881472,BANKEX26MAY55800PE,BANKEX,0.0,2026-05-27,55800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881510,881510,BANKEX26MAY55900CE,BANKEX,0.0,2026-05-27,55900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881607,881607,BANKEX26MAY55900PE,BANKEX,0.0,2026-05-27,55900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881306,881306,BANKEX26MAY56000CE,BANKEX,0.0,2026-05-27,56000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881426,881426,BANKEX26MAY56000PE,BANKEX,0.0,2026-05-27,56000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881676,881676,BANKEX26MAY56100CE,BANKEX,0.0,2026-05-27,56100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881289,881289,BANKEX26MAY56100PE,BANKEX,0.0,2026-05-27,56100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881346,881346,BANKEX26MAY56200CE,BANKEX,0.0,2026-05-27,56200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881450,881450,BANKEX26MAY56200PE,BANKEX,0.0,2026-05-27,56200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881212,881212,BANKEX26MAY56300CE,BANKEX,0.0,2026-05-27,56300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881323,881323,BANKEX26MAY56300PE,BANKEX,0.0,2026-05-27,56300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|881388,881388,BANKEX26MAY56400CE,BANKEX,0.0,2026-05-27,56400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|881695,881695,BANKEX26MAY56400PE,BANKEX,0.0,2026-05-27,56400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|879050,879050,BANKEX26MAY56500CE,BANKEX,0.0,2026-05-27,56500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879424,879424,BANKEX26MAY56500PE,BANKEX,0.0,2026-05-27,56500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|880339,880339,BANKEX26MAY56600CE,BANKEX,0.0,2026-05-27,56600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878985,878985,BANKEX26MAY56600PE,BANKEX,0.0,2026-05-27,56600.0,0.05,30.0,OPTIDX,PE,BSE_FO
